probeid	statistic
ZNF613	2.46285973424574
PEAK1	2.45960029612014
GSN	2.45328636003106
LDOC1	2.44430245791817
ITGB1	2.43974931027908
PATJ	2.4299352749655
CNIH3	2.42237912696294
SEL1L3	2.41308925870343
HTR7	2.40472652503467
MYCBP2-AS1	2.38387149789809
THAP9	2.38061806958423
BHLHE41	2.37341973702517
CD93	2.36707650197037
LMBRD1	2.36197183784546
VNN2	2.34937397775728
C7	2.33788247276423
PKHD1	2.32992411150404
AEBP1	2.32149118267798
CSGALNACT1	2.31313084544205
PCDH9	2.31307382046463
PPFIBP1	2.30857651556868
PTGIS	2.29883919796079
IP6K3	2.29837999985348
LINC02860	2.29743721853887
ARHGEF15	2.29580111926517
CTSW	2.2910819920947
CD83	2.26120152367961
INTS3	2.25945126382345
SVEP1	2.25247214038426
SMOC2	2.24825686166964
LRRC32	2.2449149589913
SLFN11	2.2312551524349
RUNDC1	2.22851921528575
MYO10	2.21850250635016
PECAM1	2.21701675413282
XYLT1	2.1988919472332
CD59	2.19540184599268
RBM45	2.19356500103967
COL6A3	2.19129451866658
TP53BP1	2.18170535622612
GOLGA7B	2.16736072596642
KIAA1755	2.12602279409051
ADGRF5	2.10698002534829
TRIP12	2.09224474920245
IQCC	2.07672990912935
SPTBN5	2.07289736818198
SF3B1	2.05848360972784
FUT11	2.0094827029228
ANAPC1	1.99129559148867
ZNF808	1.97807025309414
PGS1	1.96076517898873
TECRP1	-1.82676328856995
MT-CYB	-1.87305874490765
RN7SKP102	-1.87889779344882
FOXP3	-1.87948304442367
LINC01715	-1.88299084034572
BTF3L4P1	-1.8887437298532
HNRNPA1P76	-1.89599386888414
FAM157C	-1.90171524420055
FIGNL2	-1.90188164381907
CCDC137	-1.90361042718092
GAPDHP76	-1.90733559713316
AKR7A2P1	-1.90877402824844
LIMD1-AS1	-1.90939877291837
RDH10-AS1	-1.91001343191788
IAPP	-1.91056376320169
LRRC37A5P	-1.9106784125525
UBQLN1-AS1	-1.91148105011489
USP34-DT	-1.91476522929115
SAP30	-1.91907412523443
MRPL22	-1.91978266787692
RPL26L1	-1.92803775052277
MIR5687	-1.92977982634919
EVA1A-AS	-1.93112949116556
MIR3173	-1.93201399302012
PANX2	-1.93276864339112
LINC02021	-1.93494291788645
BHLHB9	-1.93555924696803
UGT1A5	-1.9360541307823
KAT2A	-1.93895404618928
STAG1-DT	-1.93900493918773
GRINA	-1.94112026684621
MICD	-1.95486438386621
TMEM25	-1.95546127185317
ADGRG7	-1.95667601297049
RN7SL693P	-1.95781061878439
HS3ST3A1	-1.95846436483436
GNG5	-1.96042465665628
ADGRE1	-1.96475383594828
TMEM238L	-1.96790593961466
MT-ND5	-1.96880375211319
CUX2	-1.9689749070885
UGT1A3	-1.97180168330201
NUGGC	-1.97257370812957
SCLY	-1.97291313542132
SNORA11F	-1.97627301637231
RN7SKP160	-1.97831555553481
ENSG00000234715	-1.98292750147254
SIPA1L1-AS1	-1.98476147900318
ACY3	-1.98995220257459
DNMT3L	-1.99078585655954
WASHC1	-1.99164200165158
MT-RNR2	-1.99254400779896
PATL1-DT	-1.99266982145495
ENSG00000288675	-1.993392567839
TRIM62	-1.99367006098642
SMLR1	-1.99461862437469
MT-ND4	-1.99521496446176
KCTD21-AS1	-1.99884453621189
LOC102724488	-1.99893757932094
CEACAM1	-1.99904255238897
CPS1-IT1	-2.00017847301877
RNF31	-2.00470630036463
RNU1-27P	-2.00496892047295
CFAP70	-2.00737382616642
LINC00659	-2.00747760112027
NELFA	-2.01132855643388
FOXA1	-2.01145449880622
TMEM101	-2.01327842709678
ABCC6P2	-2.01338558545318
PRKAB2	-2.01645512770662
SCO2	-2.01824055335672
IDO2	-2.01981705053813
MTND1P8	-2.02137057233144
CCDC167	-2.02208694787308
H2AC20	-2.02402079645557
GLI4	-2.02444602506288
MT-ATP6	-2.02511943676908
IRS2	-2.02576463012498
VXN	-2.02667457875371
GPR150	-2.02684564177969
PIRT	-2.02781983725509
PTPRK-AS1	-2.02826576386815
MIR576	-2.02965405458059
RN7SL559P	-2.02975162268672
ARHGAP42	-2.03092650574104
VANGL1	-2.03539245438498
LRP5L	-2.03882507332655
TNFSF10	-2.04103689047296
RN7SL116P	-2.042532426254
FBXO31	-2.04392887991275
NR1H3	-2.04505689805315
NEK3	-2.04628560600349
ATP2B2	-2.04730333958427
ENSG00000256802	-2.04903166517768
SGMS1-AS1	-2.05007930272255
ARMH1	-2.05165413592563
ENSG00000234694	-2.05312654050948
LINC02078	-2.05357441697529
CYSRT1	-2.05795361978701
MTCO2P21	-2.05843934764262
PROC	-2.05959219187312
CYP2C58P	-2.05987234484714
ING4	-2.06199370173708
ASCL2	-2.06217301313533
MT-CO3	-2.06255024332534
MUC20P1	-2.06312105778751
SUV39H2-DT	-2.06370998831146
GUCD1	-2.06400939931322
PDXP	-2.06407564144824
HM13-IT1	-2.06439629737335
CAVIN4	-2.06487933256916
NKX3-1	-2.06493593338578
ARHGEF4	-2.06541745741282
PATL2	-2.06601165939161
MIR3677HG	-2.06602754596564
COPG2IT1	-2.06686063729915
KLC3	-2.06710947001489
ENSG00000287346	-2.06937676452305
DCST1	-2.06941557203136
MMACHC	-2.07130625459668
SLC25A5-AS1	-2.07148715592476
APOC4-APOC2	-2.07188844754076
MIR3176	-2.07356616023236
CSDC2	-2.07499061522452
NUB1	-2.07523828158647
RN7SL487P	-2.07537812252885
ADORA3	-2.07601639191721
CEP164P1	-2.0765414289475
CBX5P1	-2.07723620246786
SLC6A1	-2.07790262580518
VSNL1	-2.08010660400523
MTCYBP18	-2.08065032211986
SLC66A1	-2.08079028555174
SPESP1	-2.08121858789345
KIF28P	-2.08199011657675
ZCCHC14-DT	-2.08629034185718
LINC02043	-2.08752780991051
DOP1B	-2.08900484992466
ZNRF3-IT1	-2.08914418447537
CHKB	-2.0895278776883
VWCE	-2.09036573765031
ELOVL2-AS1	-2.09067217255935
BAG1	-2.09097512859224
ECH1	-2.09393348040654
TRANK1	-2.09399015929576
DVL1	-2.09587256140666
GATB	-2.0960590532719
ACSF2	-2.09694222947049
EMC8	-2.09765301913839
MIR186	-2.0986036844318
CEP43	-2.10095901015153
SNX4	-2.10111981128104
SPATA25	-2.10151629471701
ALAS2	-2.10637531415155
ZBTB12BP	-2.10924148253343
RHBG	-2.10985989269694
MTG2	-2.11097266423182
CHAD	-2.1113082502714
CALR4P	-2.11165752972088
PRAL	-2.11602197346458
PALM3	-2.1169138111215
METTL25B	-2.11736391046887
LINC00884	-2.1194182346221
NPIPB11	-2.12000247571039
UQCRHL	-2.12222782352804
NR6A1	-2.12265587925643
HDAC4-AS1	-2.12533641503901
GJB1	-2.12546329573503
RNU6-199P	-2.12706429616624
ODF3B	-2.12879647092761
ZC3H11A	-2.12881666153092
NPIPB3	-2.12988832219493
GAPDHP2	-2.13499670465718
MRPL12	-2.13625622235413
NGEF	-2.13680363596141
RN7SL652P	-2.13763492347112
MOGAT3	-2.13794573835453
LINC00886	-2.1388337599002
LAGE3P1	-2.13913731064504
PLIN5	-2.14312440275136
HMGN1P1	-2.14612648603573
NOP10	-2.1466537670277
TEN1-CDK3	-2.14769610680849
SRP14-DT	-2.1508891139091
SPDYE12P	-2.15119369243559
GEMIN2	-2.1512220695839
PCK1	-2.15133191769398
RRS1-DT	-2.15183509879713
SLC6A1-AS1	-2.15488771429689
SPECC1L-ADORA2A	-2.15519205630083
SLC2A9-AS1	-2.15753978016123
ABCG8	-2.15900407413077
TMEM274P	-2.16007971448319
PNKD	-2.16578710286886
GNRH2	-2.16641795157679
EEF1A1P22	-2.16648988407319
NHSL1	-2.1685210915374
THRB-IT1	-2.16871235534298
SHH	-2.17233017835805
AKR7A2	-2.17332198579623
AGAP9	-2.17452853354449
ZCCHC2	-2.17555178104299
CSAD	-2.17578443283024
TMPO-AS1	-2.17911439634182
INPP5E	-2.18028014184642
RUNDC3B	-2.18517709090931
PBLD	-2.18611995336794
ADHFE1	-2.18678394157381
PLA2G4B	-2.19131843589975
HSD3B2	-2.19148397239582
SHFL	-2.19277919830946
HMBOX1-IT1	-2.20028443642954
ZSWIM1	-2.20150975591815
PAQR9-AS1	-2.20311413040649
PLEKHA6	-2.20322897193044
ENSG00000286839	-2.20417705221635
SERBP1P6	-2.20671917247759
RN7SKP70	-2.20738649200416
LYNX1	-2.20874181603276
MLXIPL	-2.20931324897645
RMDN3	-2.2093619068957
FCRLB	-2.21187892960026
XYLB	-2.21411995909825
MT-ND4L	-2.21502419843823
RNA5SP437	-2.21680470424145
NKIRAS1	-2.21830328111385
ENSG00000283828	-2.21833311009681
SNIP1	-2.21860182578598
QTRT1	-2.21879961090601
DCST2	-2.22317984114798
GPT2	-2.22397211603955
ZNF22-AS1	-2.22677600327554
MIR378A	-2.23163499846988
RN7SL47P	-2.23379180801029
NTN1	-2.23413133967607
U2AF1L4	-2.23811342064722
OAS1	-2.24428188953719
PPP1R14BP5	-2.24765084454941
NCR3	-2.25086982254982
HDGF	-2.25239453526695
SLC4A1AP	-2.25345891188215
IQSEC3	-2.25395840278802
TMEM192	-2.25548979670497
HS3ST3B1	-2.25690855862514
MED28-DT	-2.25822003893997
RN7SL180P	-2.25839993442449
ZNF284	-2.25874980441695
SLC15A1	-2.25893603607288
MAGIX	-2.26118383234631
COX6A1P2	-2.26243760562669
FDPS	-2.26274189580239
GRTP1	-2.26376878633648
LRRC8E	-2.26382825985788
LINC01558	-2.26481630958645
CNTLN	-2.26521849727068
ISY1	-2.26712511089493
BTD	-2.26870077292038
UGT1A2P	-2.26900484816672
PTPMT1	-2.27411912313641
BCL6	-2.27462316056402
UBQLNL	-2.27501107008078
ALG1	-2.27850038936043
USP6NL	-2.28404895018648
AP2S1	-2.28491727821577
ONECUT2	-2.28659098023487
RN7SL67P	-2.28743968694175
ENSG00000255284	-2.28760851445681
LINC01831	-2.28835307686118
HPN-AS1	-2.2980597574567
ZSCAN21	-2.30001249936591
KLF4P1	-2.3012046090973
LPP-AS2	-2.30434261809798
PORCN	-2.3067672456487
RAP2C-AS1	-2.30766749485964
PEX7	-2.30811163616034
FKBPL	-2.31062789540755
ABHD12B	-2.31313240160526
LINC02675	-2.31559108550511
HYPK	-2.31676661237316
LRRC2	-2.31907561178943
PSMB8-AS1	-2.31932112295388
AKR7L	-2.31979241544284
MICB	-2.32202372910207
PPIAP91	-2.32216691823508
CCL23	-2.3250388281761
LENEP	-2.33102382633372
EIF4A2P2	-2.33168048179484
LINC02127	-2.33199239791857
MRPS15	-2.33358364718417
UGT1A7	-2.33414898373277
DOK7	-2.33678647623969
ENSG00000224292	-2.34080398277559
NEU4	-2.34184515705167
ZNF425	-2.34273276288166
SOAT2	-2.34295522129655
CCDC159	-2.34967607570768
TFAP2E	-2.35833278415796
RPL21P5	-2.35963900802908
MROH7	-2.35984958865737
TRGV9	-2.36095732357824
TLX1	-2.36415288407445
DDO	-2.37284891451489
ENPEP	-2.37403916461219
CBR1	-2.38334722203371
RPS4XP18	-2.38496243496063
ATE1-AS1	-2.38933801923153
HMGA2-AS1	-2.39586165419244
LNCTAM34A	-2.40045708340416
MIR378B	-2.40602252231036
MOV10	-2.41354890579823
TSPOAP1-AS1	-2.42480192473202
SNORA71B	-2.42572827637401
SNRNP70	-2.42803095974039
PLA1A	-2.43625381450966
AR	-2.43761123397771
MEX3A	-2.4382238152982
LIG1	-2.44437803932348
MTCYBP23	-2.4494934252598
ADORA2A	-2.45287190653801
TEDC2-AS1	-2.45414270090223
AKR1C6P	-2.45495774941625
EIF4EBP3	-2.46490263034431
DDA1	-2.47735462661973
HNF1A-AS1	-2.47905234913872
RANBP1	-2.49605411802002
ENKD1	-2.49632647747838
SHANK2-AS2	-2.49912473420064
TBX3	-2.50619461965612
KIF18B	-2.51303520736106
MTATP6P1	-2.51466719439053
ZNF648	-2.52376897012833
KLB	-2.52580488528032
TH	-2.52687560184174
MTND5P1	-2.54882939471256
ENSG00000234997	-2.55147375855527
IFITM10	-2.55887812150377
YJEFN3	-2.55952905331354
CEND1	-2.56633746516461
CELF3	-2.57694465110314
ANXA10	-2.58126119232549
NAV2-AS4	-2.58982315119332
HIPK4	-2.58996375899855
WDR83	-2.59680716759921
CNKSR3	-2.62552466524338
CHDH	-2.63035018201873
ENSG00000231050	-2.65535531048917
CFAP57	-2.67107053533114
MAP7	-2.67930402441538
ALDH1L1	-2.68198759452704
ST3GAL3	-2.68508722072595
MIA2	-2.70109820972907
MICU3	-2.70194914151519
MPLKIP	-2.72459812747561
MYO5B	-2.72617089305379
BCKDHA	-2.73671993972115
ABHD14A	-2.73777132256043
RRAS2P1	-2.74402875819569
VPS37A	-2.83233523759177
TTPA	-2.90194845654343
CCNT2-AS1	-2.97285239684053
RNU1-28P	-3.01072151878339
SERF2	-3.07800344346572
ENSG00000240661	-3.35263593691166
